FileName,Gender,Age,Pitch,Warmth,Clarity,Power,Thickness,Smoothness,Emotion
001.wav,3,3,4,3,5,5,6,8,3
002.wav,3,4,2,7,3,8,8,7,1
003.wav,3,3,7,6,4,4,4,7,1
004.wav,3,4,4,5,5,4,4,4,6
005.wav,3,2,7,3,7,4,4,6,4
006.wav,3,2,3,4,5,5,6,7,6
007.wav,3,4,6,5,3,9,5,8,1
008.wav,3,5,4,7,4,9,8,9,1
009.wav,3,6,2,5,4,6,8,7,2
010.wav,3,4,7,3,2,7,7,7,2
011.wav,1,6,6,3,2,9,8,9,4
012.wav,1,5,6,5,6,5,4,8,6
013.wav,1,2,9,5,8,4,4,8,5
014.wav,1,6,8,2,8,3,3,7,6
015.wav,1,8,8,2,6,3,3,9,6
016.wav,1,7,6,8,4,9,9,9,6
017.wav,1,7,7,2,8,8,4,4,1
018.wav,1,2,9,7,9,5,4,9,6
019.wav,1,9,7,2,2,9,8,8,1
020.wav,1,5,9,2,9,3,3,9,1
021.wav,1,4,9,3,8,3,3,8,1
022.wav,1,2,7,5,8,8,5,8,4
023.wav,3,4,4,7,7,7,5,6,6
024.wav,3,3,2,9,2,9,9,7,6
025.wav,3,3,4,6,4,6,5,8,6
026.wav,3,7,4,8,4,7,8,5,6
027.wav,3,4,4,5,8,4,4,8,5
028.wav,3,4,6,5,7,5,5,9,6
029.wav,3,4,6,5,7,5,5,8,6
030.wav,3,4,4,7,4,7,6,8,2
031.wav,3,4,7,3,7,8,4,8,1
032.wav,3,8,3,8,3,8,8,4,5
033.wav,3,5,8,5,7,5,5,8,2
034.wav,3,3,4,5,4,3,5,7,6
035.wav,3,3,4,5,4,5,5,8,6
036.wav,3,5,6,4,7,3,3,7,4
037.wav,1,4,9,3,9,8,3,9,5
038.wav,1,2,7,8,7,5,5,8,6
039.wav,1,6,6,8,4,9,9,9,2
040.wav,1,2,8,5,9,5,5,9,6
