FileName,Gender,Age,Pitch,Warmth,Clarity,Power,Thickness,Smoothness,Emotion
001.wav,3,4,8,8,6,7,4,5,5
002.wav,3,9,3,6,9,4,9,9,4
003.wav,3,6,9,4,2,2,5,10,6
004.wav,3,5,5,6,1,4,7,6,6
005.wav,3,6,4,1,1,5,3,9,4
006.wav,3,7,4,8,2,6,8,9,6
007.wav,3,6,8,5,8,10,4,6,1
008.wav,3,8,6,4,7,9,9,10,6
009.wav,3,9,4,4,5,7,8,9,4
010.wav,3,5,6,4,6,2,8,6,3
011.wav,1,8,6,7,4,8,8,7,3
012.wav,1,5,6,4,7,4,8,8,6
013.wav,1,1,9,6,2,3,4,7,2
014.wav,1,6,7,4,3,5,4,4,6
015.wav,1,4,8,5,8,7,6,9,6
016.wav,1,6,6,4,8,2,5,3,4
017.wav,1,5,7,1,4,8,4,4,1
018.wav,1,2,10,5,6,3,3,10,5
019.wav,1,10,6,4,3,8,7,6,5
020.wav,1,6,9,3,2,3,4,6,5
021.wav,1,4,5,6,3,2,6,2,5
022.wav,1,6,4,3,6,8,6,7,4
023.wav,3,6,5,2,6,3,6,2,6
024.wav,3,10,3,4,5,10,7,7,6
025.wav,3,4,6,7,5,7,6,8,6
026.wav,3,7,4,5,7,6,8,4,6
027.wav,3,6,6,7,6,5,7,6,6
028.wav,3,4,7,6,8,7,6,5,6
029.wav,3,4,5,3,7,6,7,7,6
030.wav,3,4,6,3,4,7,3,7,6
031.wav,3,4,7,3,6,5,7,3,5
032.wav,3,9,7,6,8,8,7,8,6
033.wav,3,4,3,6,5,4,6,5,2
034.wav,3,8,3,6,7,8,3,4,2
035.wav,3,6,4,7,6,5,6,8,6
036.wav,3,8,6,5,7,8,6,5,6
037.wav,1,2,8,5,6,4,6,5,1
038.wav,1,3,6,7,8,5,6,7,6
039.wav,1,4,3,5,4,7,5,6,4
040.wav,1,2,3,5,6,7,4,5,5
